From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
20,1,-20,20,1,20,RB,RF,9.717425,11.05639,3.932855,1.972058,-28.88,29.04892,2.268237,-0.2553797,16.92066,19.26889,135,45,172.2452,90.50369,37.24521,45.5037
0,1,28.28427,-20,1,-20,F,LB,26.55038,28.2899,-1.85347,2.729555,-29.10668,-29.04262,2.591282,0.6625811,33.51797,34.70294,0,-135,-176.3564,-88.69308,-176.3564,46.30692
-20,1,-20,20,1,20,LB,RF,38.53407,40.42106,-29.05182,2.904919,0.06805535,29.0327,2.992929,-1.072461,41.68422,43.11296,-135,45,-89.86578,92.11553,45.13422,47.11553
-20,1,20,20,1,20,LF,RF,47.63663,48.97567,-20.85825,2.662688,-20.30149,24.51267,2.294496,-15.80173,51.45518,53.08724,-45,45,-134.225,122.8073,-89.22501,77.80726
-20,1,-20,20,1,-20,LB,RB,57.45354,58.7942,-23.45517,2.767613,-17.31054,24.4386,3.813625,-15.91549,60.75047,62.16823,-135,135,-126.4283,123.0739,8.571689,-11.92607
28.28427,1,0,-20,1,-20,R,LB,83.91675,85.65711,29.02616,2.64211,1.213591,-0.4492311,3.308014,29.16426,87.60216,91.81184,90,-135,87.60584,-0.8824874,-2.394083,134.1175
28.28427,1,0,-20,1,20,R,LF,95.40051,97.13968,20.84889,3.186255,-20.31095,-22.11493,2.781629,-18.95906,99.15102,101.3961,90,-45,134.2512,-130.6064,44.25121,-85.60638
20,1,-20,0,1,28.28427,RB,F,105.3043,107.0579,21.06751,3.020181,20.0899,-20.07334,3.407262,21.06148,108.3763,109.5199,135,0,46.36069,-43.6239,-88.63931,-43.6239
20,1,-20,-20,1,20,RB,LF,114.6755,116.5675,29.04919,3.239339,-0.2379142,-29.05077,3.250373,0.1355196,117.6763,119.9079,135,-45,90.46925,-89.73273,-44.53076,-44.73273
0,1,28.28427,-28.28427,1,0,F,L,124.7976,126.1364,0.4009741,3.962102,-29.16513,-29.04021,3.68031,-0.8185386,128.5847,130.7074,0,-90,179.2124,-91.61454,179.2124,-1.614588
0,1,-28.28427,20,1,20,B,RF,134.6826,136.4127,-0.8081995,3.756087,-29.15779,24.85519,2.972621,-15.26565,138.3125,140.9239,180,45,-178.4122,121.5576,1.587823,76.55756
0,1,-28.28427,-20,1,20,B,LF,145.5521,147.2953,-1.726602,3.102282,-29.11348,-29.042,3.499107,0.7027969,149.5695,150.533,180,-45,-176.606,-88.61375,3.394018,-43.61375
-28.28427,1,0,20,1,20,L,RF,155.2212,156.9827,-25.07955,3.299216,14.89276,21.49868,3.199446,19.63866,159.5349,161.0648,-90,45,-59.29726,47.58885,30.70274,2.588836
0,1,28.28427,28.28427,1,0,F,R,164.903,166.2345,0.3739777,4.190784,-29.16562,29.0446,3.31292,-0.5348299,168.0452,169.1287,0,90,179.2654,91.05493,179.2654,1.054805
0,1,28.28427,0,1,-28.28427,F,B,173.6973,175.584,-29.0504,3.637815,-0.1592842,29.04185,3.662486,-0.7122081,179.1825,181.1144,0,180,-90.31415,91.40482,-90.31415,-88.59519
0,1,-28.28427,-28.28427,1,0,B,L,186.388,187.7246,-10.89166,2.913905,26.94912,-24.155,3.587702,-16.33954,189.1349,190.4842,180,-90,-22.00642,-124.0762,157.9936,-34.07621
28.28427,1,0,-28.28427,1,0,R,L,195.4758,197.3674,29.05125,3.443141,-0.104404,-29.04987,3.741281,0.193813,198.2161,200.0063,90,-90,90.20591,-89.61774,0.2055842,0.3820612
20,1,20,0,1,-28.28427,RF,B,204.4141,206.1542,29.043,3.77423,-0.6380396,-3.522569,4.008942,-28.93605,208.1357,209.8854,45,180,91.25852,-173.0592,46.25852,6.940853
0,1,28.28427,20,1,-20,F,RB,214.1183,215.8613,-21.65646,3.141998,19.46833,18.86814,3.083471,22.1238,218.0888,219.2802,0,135,-48.04567,40.45898,-48.04567,-94.54103
-20,1,20,0,1,-28.28427,LF,B,224.2932,226.0504,-24.5626,3.541552,-15.72506,23.0953,2.531508,-17.78309,228.1699,230.3172,-45,180,-122.6275,127.5958,-77.62751,-52.40419
20,1,20,-20,1,-20,RF,LB,237.5319,239.4239,29.0513,3.218258,0.1016476,-29.0523,2.919458,0.03684016,240.256,242.4548,45,-135,89.79953,-89.92735,44.79953,45.07266
0,1,-28.28427,28.28427,1,0,B,R,247.0149,248.353,-0.3057781,1.955043,29.16685,20.08657,3.505726,21.04891,249.8052,250.6684,180,90,-0.6006827,43.65985,179.3993,-46.34016
-28.28427,1,0,0,1,28.28427,L,F,255.9919,257.3351,-22.69764,2.638103,18.27427,-0.08430832,2.113342,29.17084,259.5463,260.5946,-90,0,-51.16185,-0.165511,38.83815,-0.165511
-20,1,20,-20,1,-20,LF,LB,265.0519,266.3914,-29.04348,1.969787,-0.6070471,-3.638184,3.407076,-28.92175,269.6685,270.9683,-45,-135,-91.19738,-172.8302,-46.19738,-37.8302
28.28427,1,0,0,1,-28.28427,R,B,275.6733,277.0156,29.02879,2.512447,1.156715,1.073146,2.788548,29.14853,279.3523,280.4679,90,180,87.71813,2.108493,-2.281905,-177.8915
20,1,20,20,1,-20,RF,RB,284.756,286.0964,29.04774,1.798544,0.3320534,-0.6374294,4.151783,-29.16087,287.2464,288.407,45,135,89.34506,-178.7477,44.34507,46.25224
20,1,-20,-20,1,-20,RB,LB,292.6976,294.0364,12.89426,1.956556,26.03778,-14.58112,3.170448,25.12781,294.718,295.6556,135,-135,26.34523,-30.12566,-108.6548,104.8743
20,1,20,-28.28427,1,0,RF,L,299.6884,301.4476,29.02,2.492741,1.345895,1.168211,2.250782,29.14343,304.3365,306.0437,45,-90,87.34463,2.295502,42.34463,92.29546
28.28427,1,0,0,1,28.28427,R,F,311.1846,312.5113,29.0039,1.273715,-1.692381,0.2076087,2.244755,-29.16862,315.0157,316.1415,90,0,93.33943,179.5922,3.339413,179.5922
-20,1,-20,28.28427,1,0,LB,R,321.0556,322.808,-29.01476,1.471961,-1.458744,0.7099654,2.768172,-29.15956,324.5735,325.7352,-135,90,-92.87817,178.6052,42.12182,88.60526
-28.28427,1,0,20,1,-20,L,RB,330.7058,332.4622,-22.80509,1.780384,-18.14155,22.47273,2.102618,-18.54624,334.4167,336.2239,-90,135,-128.5024,129.5321,-38.50241,-5.467911
-20,1,-20,0,1,28.28427,LB,F,340.3128,342.044,-29.03116,1.724257,1.105689,-1.325203,2.60012,29.13501,344.824,346.0219,-135,0,-87.81887,-2.60429,47.18113,-2.60429
20,1,-20,-28.28427,1,0,RB,L,351.1489,352.8924,29.04763,1.563688,0.3386477,0.289639,2.235415,29.16714,353.971,355.6029,135,-90,89.33206,0.5688952,-45.66795,90.56895
20,1,20,-20,1,20,RF,LF,359.8358,361.1759,21.73612,2.382865,19.38233,-20.36645,3.065017,20.78363,363.2097,364.6049,45,-45,48.27627,-44.41915,3.276261,0.5811456
-28.28427,1,0,28.28427,1,0,L,R,368.9628,370.8522,-29.05175,2.24547,0.07255468,29.04536,1.464311,0.4853055,372.0344,373.7998,-90,90,-89.85691,89.04276,0.1426525,-0.9571576
-20,1,20,20,1,-20,LF,RB,378.5561,380.4438,-29.04679,2.250167,0.3930071,29.04825,1.051307,0.2987736,382.0854,383.6718,-45,135,-89.22483,89.41071,-44.22483,-45.58929
-20,1,-20,-20,1,20,LB,LF,387.7929,389.1349,-29.04748,1.05825,-0.3484941,-1.924044,2.098063,-29.10182,391.1784,392.5296,-135,-45,-90.68736,-176.2175,44.31263,-131.2174
0,1,-28.28427,0,1,28.28427,B,F,397.0327,398.9187,0.322839,2.306148,29.16654,-0.8860247,2.811067,-29.15638,400.7617,402.5909,180,0,0.6342734,-178.2593,-179.3657,-178.2593
-28.28427,1,0,0,1,-28.28427,L,B,406.7365,408.0786,-24.18972,2.694106,-16.2901,-20.92654,2.786656,20.23244,411.5517,412.7021,-90,180,-123.9575,-45.96614,-33.95753,134.0339
-20,1,20,28.28427,1,0,LF,R,417.4182,419.1567,-19.84656,2.188269,21.27247,21.00549,3.021563,20.15261,420.7445,422.2855,-45,90,-43.01392,46.18711,1.986231,-43.81289
